1,51,35,14,2,setosa
2,49,3,14,2,setosa
3,47,32,13,2,setosa
4,46,31,15,2,setosa
5,5,36,14,2,setosa
6,54,39,17,4,setosa
7,46,34,14,3,setosa
8,5,34,15,2,setosa
9,44,29,14,2,setosa
10,49,31,15,1,setosa
11,54,37,15,2,setosa
12,48,34,16,2,setosa
13,48,3,14,1,setosa
14,43,3,11,1,setosa
15,58,4,12,2,setosa
16,57,44,15,4,setosa
17,54,39,13,4,setosa
18,51,35,14,3,setosa
19,57,38,17,3,setosa
20,51,38,15,3,setosa
21,54,34,17,2,setosa
22,51,37,15,4,setosa
23,46,36,1,2,setosa
24,51,33,17,5,setosa
25,48,34,19,2,setosa
26,5,3,16,2,setosa
27,5,34,16,4,setosa
28,52,35,15,2,setosa
29,52,34,14,2,setosa
30,47,32,16,2,setosa
31,48,31,16,2,setosa
32,54,34,15,4,setosa
33,52,41,15,1,setosa
34,55,42,14,2,setosa
35,49,31,15,1,setosa
36,5,32,12,2,setosa
37,55,35,13,2,setosa
38,49,31,15,1,setosa
39,44,3,13,2,setosa
40,51,34,15,2,setosa
41,5,35,13,3,setosa
42,45,23,13,3,setosa
43,44,32,13,2,setosa
44,5,35,16,6,setosa
45,51,38,19,4,setosa
46,48,3,14,3,setosa
47,51,38,16,2,setosa
48,46,32,14,2,setosa
49,53,37,15,2,setosa
50,5,33,14,2,setosa
51,7,32,47,14,versicolor
52,64,32,45,15,versicolor
53,69,31,49,15,versicolor
54,55,23,4,13,versicolor
55,65,28,46,15,versicolor
56,57,28,45,13,versicolor
57,63,33,47,16,versicolor
58,49,24,33,1,versicolor
59,66,29,46,13,versicolor
60,52,27,39,14,versicolor
61,5,2,35,1,versicolor
62,59,3,42,15,versicolor
63,6,22,4,1,versicolor
64,61,29,47,14,versicolor
65,56,29,36,13,versicolor
66,67,31,44,14,versicolor
67,56,3,45,15,versicolor
68,58,27,41,1,versicolor
69,62,22,45,15,versicolor
70,56,25,39,11,versicolor
71,59,32,48,18,versicolor
72,61,28,4,13,versicolor
73,63,25,49,15,versicolor
74,61,28,47,12,versicolor
75,64,29,43,13,versicolor
76,66,3,44,14,versicolor
77,68,28,48,14,versicolor
78,67,3,5,17,versicolor
79,6,29,45,15,versicolor
80,57,26,35,1,versicolor
81,55,24,38,11,versicolor
82,55,24,37,1,versicolor
83,58,27,39,12,versicolor
84,6,27,51,16,versicolor
85,54,3,45,15,versicolor
86,6,34,45,16,versicolor
87,67,31,47,15,versicolor
88,63,23,44,13,versicolor
89,56,3,41,13,versicolor
90,55,25,4,13,versicolor
91,55,26,44,12,versicolor
92,61,3,46,14,versicolor
93,58,26,4,12,versicolor
94,5,23,33,1,versicolor
95,56,27,42,13,versicolor
96,57,3,42,12,versicolor
97,57,29,42,13,versicolor
98,62,29,43,13,versicolor
99,51,25,3,11,versicolor
100,57,28,41,13,versicolor
101,63,33,6,25,virginica
102,58,27,51,19,virginica
103,71,3,59,21,virginica
104,63,29,56,18,virginica
105,65,3,58,22,virginica
106,76,3,66,21,virginica
107,49,25,45,17,virginica
108,73,29,63,18,virginica
109,67,25,58,18,virginica
110,72,36,61,25,virginica
111,65,32,51,2,virginica
112,64,27,53,19,virginica
113,68,3,55,21,virginica
114,57,25,5,2,virginica
115,58,28,51,24,virginica
116,64,32,53,23,virginica
117,65,3,55,18,virginica
118,77,38,67,22,virginica
119,77,26,69,23,virginica
120,6,22,5,15,virginica
121,69,32,57,23,virginica
122,56,28,49,2,virginica
123,77,28,67,2,virginica
124,63,27,49,18,virginica
125,67,33,57,21,virginica
126,72,32,6,18,virginica
127,62,28,48,18,virginica
128,61,3,49,18,virginica
129,64,28,56,21,virginica
130,72,3,58,16,virginica
131,74,28,61,19,virginica
132,79,38,64,2,virginica
133,64,28,56,22,virginica
134,63,28,51,15,virginica
135,61,26,56,14,virginica
136,77,3,61,23,virginica
137,63,34,56,24,virginica
138,64,31,55,18,virginica
139,6,3,48,18,virginica
140,69,31,54,21,virginica
141,67,31,56,24,virginica
142,69,31,51,23,virginica
143,58,27,51,19,virginica
144,68,32,59,23,virginica
145,67,33,57,25,virginica
146,67,3,52,23,virginica
147,63,25,5,19,virginica
148,65,3,52,2,virginica
149,62,34,54,23,virginica
150,59,3,51,18,virginica
